Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
51.0,54.0,Turdus iliacus,Redwing,0.6134,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
51.0,54.0,Certhia familiaris,Eurasian Treecreeper,0.5240,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
54.0,57.0,Certhia familiaris,Eurasian Treecreeper,0.3397,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
54.0,57.0,Turdus iliacus,Redwing,0.2501,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
57.0,60.0,Turdus iliacus,Redwing,0.4792,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
3.0,6.0,Regulus ignicapilla,Common Firecrest,0.3955,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
3.0,6.0,Dendrocopos major,Great Spotted Woodpecker,0.3421,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
6.0,9.0,Aegithalos caudatus,Long-tailed Tit,0.3400,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
9.0,12.0,Regulus regulus,Goldcrest,0.6980,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
12.0,15.0,Erithacus rubecula,European Robin,0.4624,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
15.0,18.0,Erithacus rubecula,European Robin,0.3726,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
21.0,24.0,Troglodytes troglodytes,Eurasian Wren,0.7466,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
30.0,33.0,Regulus ignicapilla,Common Firecrest,0.2549,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
36.0,39.0,Regulus ignicapilla,Common Firecrest,0.5687,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
48.0,51.0,Regulus ignicapilla,Common Firecrest,0.2842,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080000.wav,51.407777,-0.646617
30.0,33.0,Erithacus rubecula,European Robin,0.3298,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
33.0,36.0,Erithacus rubecula,European Robin,0.3942,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
36.0,39.0,Accipiter gentilis,Northern Goshawk,0.3033,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
39.0,42.0,Erithacus rubecula,European Robin,0.7072,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
